rang,domaine,tier,categorie,acquisition,cout_an1,score,statut_21_08_2026,notes
18,vcsol.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,157.3,lot réel vérifié 21/08/2026,age 16 ans; TF 25/CF 14; RD 30; BL 51; SV 0/mois; est. GoDaddy 1829 $
19,qmayor.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,156.8,lot réel vérifié 21/08/2026,age 12 ans; TF 15/CF 20; RD 434; BL 2356; SV 0/mois; est. GoDaddy 1359 $
20,sugarhollow.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,156.7,lot réel vérifié 21/08/2026,age 30 ans; TF 25/CF 14; RD 50; BL 236; SV 20/mois; est. GoDaddy 2903 $
21,solutd.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,156.6,lot réel vérifié 21/08/2026,age 10 ans; TF 20/CF 22; RD 203; BL 958; SV 0/mois; est. GoDaddy 1365 $
22,winsorpilates.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,155.9,lot réel vérifié 21/08/2026,age 25 ans; TF 26/CF 18; RD 219; BL 875; SV 10/mois; est. GoDaddy 2596 $
23,intelseek.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,155.6,lot réel vérifié 21/08/2026,age 24 ans; TF 14/CF 23; RD 632; BL 3182; SV 10/mois; est. GoDaddy 3126 $
24,capitolbook.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,155.5,lot réel vérifié 21/08/2026,age 28 ans; TF 23/CF 15; RD 282; BL 404; SV 0/mois; est. GoDaddy 2255 $
25,ratecsa.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,155.3,lot réel vérifié 21/08/2026,age 20 ans; TF 20/CF 25; RD 130; BL 232; SV 20/mois; est. GoDaddy 1380 $
26,pfmagazine.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,150 $,154.9,lot réel vérifié 21/08/2026,age 19 ans; TF 25/CF 26; RD 2915; BL 606929; SV 0/mois; est. GoDaddy 1500 $; ATTENTION: ex-média — vérifier
27,snagaslip.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1675 $,154.5,lot réel vérifié 21/08/2026,age 13 ans; TF 20/CF 28; RD 442; BL 126269; SV 170/mois; est. GoDaddy 3794 $
28,seedinvest.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1475 $,154.3,lot réel vérifié 21/08/2026,age 22 ans; TF 14/CF 32; RD 1621; BL 10484; SV 1600/mois; est. GoDaddy 8862 $
29,agflow.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,355 $,153.5,lot réel vérifié 21/08/2026,age 14 ans; TF 10/CF 20; RD 176; BL 395; SV 70/mois; est. GoDaddy 2615 $; ATTENTION: ex-startup agtech — vérifier
30,footters.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,11 $,153.4,lot réel vérifié 21/08/2026,age 11 ans; TF 13/CF 22; RD 471; BL 7580; SV 170/mois; est. GoDaddy 3094 $
31,kttifm.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,152.5,lot réel vérifié 21/08/2026,age 25 ans; TF 13/CF 26; RD 87; BL 9481; SV 0/mois; est. GoDaddy 1234 $
32,adblo.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,40 $,152.3,lot réel vérifié 21/08/2026,age 3 ans; TF 3/CF 1; RD 1731; BL 29298; SV 590/mois; est. GoDaddy 1862 $
33,aosando.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,11 $,152.3,lot réel vérifié 21/08/2026,age 19 ans; TF 22/CF 17; RD 231; BL 8053; SV 0/mois; est. GoDaddy 1360 $
34,qualir.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,152.1,lot réel vérifié 21/08/2026,age 18 ans; TF 8/CF 15; RD 140; BL 273; SV 20/mois; est. GoDaddy 1662 $
35,vocing.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,151.9,lot réel vérifié 21/08/2026,age 6 ans; TF 12/CF 18; RD 374; BL 412; SV 30/mois; est. GoDaddy 1464 $
36,smtbus.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,151.3,lot réel vérifié 21/08/2026,age 30 ans; TF 14/CF 32; RD 381; BL 2108; SV 0/mois; est. GoDaddy 1638 $
37,worldescape.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,45 $,150.8,lot réel vérifié 21/08/2026,age 23 ans; TF 16/CF 33; RD 212; BL 47638; SV 40/mois; est. GoDaddy 4442 $
38,huraiz.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,150.8,lot réel vérifié 21/08/2026,age 13 ans; TF 8/CF 9; RD 26; BL 41; SV 20/mois; est. GoDaddy 1336 $
39,olebobs.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,149.9,lot réel vérifié 21/08/2026,age 23 ans; TF 29/CF 23; RD 38; BL 80; SV 0/mois; est. GoDaddy 1189 $
40,cafenola.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,148.7,lot réel vérifié 21/08/2026,age 23 ans; TF 24/CF 15; RD 54; BL 138; SV 0/mois; est. GoDaddy 1897 $
41,totalcallusa.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,148.5,lot réel vérifié 21/08/2026,age 26 ans; TF 22/CF 48; RD 814; BL 164716; SV 0/mois; est. GoDaddy 1204 $
42,polishtoledo.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,148.1,lot réel vérifié 21/08/2026,age 21 ans; TF 20/CF 21; RD 952; BL 1122; SV 0/mois; est. GoDaddy 917 $
43,thetourshow.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,11 $,148.0,lot réel vérifié 21/08/2026,age 22 ans; TF 17/CF 5; RD 2540; BL 57900; SV 0/mois; est. GoDaddy 1320 $
44,cdrking.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,147.2,lot réel vérifié 21/08/2026,age 23 ans; TF 11/CF 21; RD 336; BL 9003; SV 140/mois; est. GoDaddy 2722 $
45,menopauserx.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,147.0,lot réel vérifié 21/08/2026,age 27 ans; TF 17/CF 5; RD 62; BL 175; SV 40/mois; est. GoDaddy 1396 $
46,xemplar.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,31 $,146.9,lot réel vérifié 21/08/2026,age 30 ans; TF 14/CF 14; RD 73; BL 753; SV 20/mois; est. GoDaddy 5239 $
47,excitem.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,146.3,lot réel vérifié 21/08/2026,age 14 ans; TF 17/CF 24; RD 243; BL 10832; SV 20/mois; est. GoDaddy 2429 $
48,wescofountains.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,145.9,lot réel vérifié 21/08/2026,age 28 ans; TF 20/CF 13; RD 122; BL 153; SV 0/mois; est. GoDaddy 1220 $
49,widowpc.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,30 $,145.8,lot réel vérifié 21/08/2026,age 22 ans; TF 17/CF 33; RD 403; BL 2598; SV 0/mois; est. GoDaddy 742 $
50,whyrenton.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,145.2,lot réel vérifié 21/08/2026,age 12 ans; TF 23/CF 27; RD 446; BL 166774; SV 0/mois; est. GoDaddy 1447 $
51,nooonbooks.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,144.6,lot réel vérifié 21/08/2026,age 15 ans; TF 21/CF 17; RD 329; BL 874; SV 0/mois; est. GoDaddy 1567 $
52,bizimkocaeli.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,144.6,lot réel vérifié 21/08/2026,age 25 ans; TF 17/CF 16; RD 9955; BL 1311157; SV 0/mois; est. GoDaddy 292 $
53,avafleming.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,144.5,lot réel vérifié 21/08/2026,age 23 ans; TF 23/CF 16; RD 94; BL 272; SV 0/mois; est. GoDaddy 1239 $
54,ncautoexpo.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,55 $,144.5,lot réel vérifié 21/08/2026,age 28 ans; TF 24/CF 20; RD 47; BL 269; SV 0/mois; est. GoDaddy 1204 $
55,etoot.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,144.4,lot réel vérifié 21/08/2026,age 22 ans; TF 3/CF 15; RD 134; BL 337; SV 10/mois; est. GoDaddy 2282 $
56,lalforest.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,144.2,lot réel vérifié 21/08/2026,age 22 ans; TF 19/CF 16; RD 58; BL 328; SV 0/mois; est. GoDaddy 1266 $
57,sandiegopet.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,42 $,144.1,lot réel vérifié 21/08/2026,age 28 ans; TF 25/CF 18; RD 74; BL 147; SV 0/mois; est. GoDaddy 1649 $
58,ahepburn.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,144.1,lot réel vérifié 21/08/2026,age 22 ans; TF 21/CF 15; RD 75; BL 146; SV 0/mois; est. GoDaddy 1146 $
59,airexamples.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,144.1,lot réel vérifié 21/08/2026,age 19 ans; TF 14/CF 27; RD 153; BL 261; SV 0/mois; est. GoDaddy 1380 $
60,umwelt.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,16 $,144.0,lot réel vérifié 21/08/2026,age 15 ans; TF 0/CF 14; RD 97; BL 108; SV 2400/mois; est. GoDaddy 12471 $
61,marewatchers.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,143.6,lot réel vérifié 21/08/2026,age 18 ans; TF 17/CF 16; RD 180; BL 359; SV 20/mois; est. GoDaddy 1235 $
62,epocainfo.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,143.5,lot réel vérifié 21/08/2026,age 23 ans; TF 9/CF 15; RD 171; BL 266; SV 0/mois; est. GoDaddy 327 $
63,kadca.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,143.1,lot réel vérifié 21/08/2026,age 20 ans; TF 18/CF 8; RD 3; BL 6; SV 10/mois; est. GoDaddy 1684 $
64,arukai.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,142.8,lot réel vérifié 21/08/2026,age 2 ans; TF 17/CF 29; RD 534; BL 1723; SV 0/mois; est. GoDaddy 1286 $
65,juegan.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,142.7,lot réel vérifié 21/08/2026,age 22 ans; TF 2/CF 21; RD 26; BL 36; SV 480/mois; est. GoDaddy 2666 $
66,vilatimes.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,142.3,lot réel vérifié 21/08/2026,age 9 ans; TF 24/CF 31; RD 538; BL 4505; SV 0/mois; est. GoDaddy 1421 $
67,keyrx.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,80 $,142.1,lot réel vérifié 21/08/2026,age 20 ans; TF 3/CF 1; RD 27; BL 43; SV 20/mois; est. GoDaddy 2574 $
68,huskup.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,142.0,lot réel vérifié 21/08/2026,age 9 ans; TF 5/CF 2; RD 83; BL 108; SV 20/mois; est. GoDaddy 1487 $
69,dochcoin.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,141.6,lot réel vérifié 21/08/2026,age 7 ans; TF 19/CF 31; RD 521; BL 25089; SV 0/mois; est. GoDaddy 1342 $
70,hardiment.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,141.6,lot réel vérifié 21/08/2026,age 23 ans; TF 19/CF 6; RD 21; BL 26; SV 20/mois; est. GoDaddy 1651 $
71,pubsales.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,141.6,lot réel vérifié 21/08/2026,age 27 ans; TF 3/CF 1; RD 552; BL 1418; SV 10/mois; est. GoDaddy 2692 $
72,snapnet.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1225 $,141.0,lot réel vérifié 21/08/2026,age 25 ans; TF 19/CF 14; RD 35; BL 39; SV 110/mois; est. GoDaddy 7841 $
73,remj.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,156 $,141.0,lot réel vérifié 21/08/2026,age 24 ans; TF 0/CF 9; RD 11; BL 11; SV 260/mois; est. GoDaddy 2986 $
74,noiket.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,140.6,lot réel vérifié 21/08/2026,age 21 ans; TF 13/CF 12; RD 19; BL 32; SV 0/mois; est. GoDaddy 1906 $
75,roksport.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,140.6,lot réel vérifié 21/08/2026,age 26 ans; TF 26/CF 14; RD 39; BL 1184; SV 0/mois; est. GoDaddy 112 $
76,columbianvoodoo.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,140.6,lot réel vérifié 21/08/2026,age 24 ans; TF 24/CF 20; RD 204; BL 495; SV 0/mois; est. GoDaddy 695 $
77,droidhorizon.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,140.2,lot réel vérifié 21/08/2026,age 14 ans; TF 22/CF 27; RD 425; BL 754; SV 0/mois; est. GoDaddy 1184 $
78,merqueo.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,11 $,140.2,lot réel vérifié 21/08/2026,age 11 ans; TF 8/CF 25; RD 364; BL 1889; SV 110/mois; est. GoDaddy 3677 $
79,dawoer.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,139.7,lot réel vérifié 21/08/2026,age 22 ans; TF 9/CF 13; RD 46; BL 206; SV 0/mois; est. GoDaddy 2140 $
80,absorver.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,138.9,lot réel vérifié 21/08/2026,age 8 ans; TF 13/CF 27; RD 478; BL 30918; SV 210/mois; est. GoDaddy 1380 $
81,taiwanglobe.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,138.9,lot réel vérifié 21/08/2026,age 27 ans; TF 9/CF 14; RD 191; BL 609; SV 0/mois; est. GoDaddy 1327 $
82,comedycapers.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,138.9,lot réel vérifié 21/08/2026,age 27 ans; TF 20/CF 13; RD 25; BL 5092; SV 0/mois; est. GoDaddy 1173 $
83,equitector.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,138.7,lot réel vérifié 21/08/2026,age 24 ans; TF 20/CF 14; RD 26; BL 226; SV 20/mois; est. GoDaddy 1376 $
84,netbiblestudy.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,138.2,lot réel vérifié 21/08/2026,age 25 ans; TF 22/CF 13; RD 65; BL 132; SV 20/mois; est. GoDaddy 1538 $
85,eeicorp.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,138.0,lot réel vérifié 21/08/2026,age 27 ans; TF 22/CF 13; RD 32; BL 53; SV 0/mois; est. GoDaddy 1731 $
86,readingonwalden.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,137.9,lot réel vérifié 21/08/2026,age 27 ans; TF 26/CF 24; RD 148; BL 9442; SV 0/mois; est. GoDaddy 396 $
87,citait.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,40 $,137.8,lot réel vérifié 21/08/2026,age 1 ans; TF 13/CF 1; RD 10; BL 11; SV 30/mois; est. GoDaddy 1625 $
88,speedresearch.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,6 $,137.5,lot réel vérifié 21/08/2026,age 27 ans; TF 43/CF 30; RD 73; BL 348; SV 0/mois; est. GoDaddy 3558 $
89,bifury.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,50 $,137.3,lot réel vérifié 21/08/2026,age 1 ans; TF 13/CF 17; RD 64; BL 24113; SV 140/mois; est. GoDaddy 1459 $
90,strippernet.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,136.9,lot réel vérifié 21/08/2026,age 30 ans; TF 22/CF 14; RD 19; BL 58; SV 20/mois; est. GoDaddy 963 $
91,mobilusmedia.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,136.9,lot réel vérifié 21/08/2026,age 25 ans; TF 10/CF 15; RD 162; BL 225; SV 0/mois; est. GoDaddy 1243 $
92,gaypad.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,136.8,lot réel vérifié 21/08/2026,age 28 ans; TF 6/CF 12; RD 19; BL 27; SV 20/mois; est. GoDaddy 2127 $
93,playwho.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,136.7,lot réel vérifié 21/08/2026,age 22 ans; TF 8/CF 16; RD 176; BL 416; SV 20/mois; est. GoDaddy 1542 $
94,cdrlog.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,136.7,lot réel vérifié 21/08/2026,age 25 ans; TF 19/CF 19; RD 23; BL 47; SV 0/mois; est. GoDaddy 1278 $
95,legalworkplace.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,136.6,lot réel vérifié 21/08/2026,age 21 ans; TF 24/CF 16; RD 192; BL 351; SV 0/mois; est. GoDaddy 2786 $
96,pqhost.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,136.4,lot réel vérifié 21/08/2026,age 23 ans; TF 3/CF 1; RD 19; BL 72; SV 10/mois; est. GoDaddy 929 $
97,copayline.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,76.0,disponible (RDAP registre),
98,copaylog.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,76.0,disponible (RDAP registre),
99,copaydesk.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,76.0,disponible (RDAP registre),
100,remitsops.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,76.0,disponible (RDAP registre),
101,payoffops.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,76.0,disponible (RDAP registre),
102,copaygrid.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,76.0,disponible (RDAP registre),
103,payofflog.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,76.0,disponible (RDAP registre),
104,locumsops.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,75.0,disponible (RDAP registre),
105,assaysops.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,75.0,disponible (RDAP registre),
106,liensmint.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,74.0,disponible (RDAP registre),
107,liensroom.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,74.0,disponible (RDAP registre),
108,liensdock.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,74.0,disponible (RDAP registre),
109,liensdesk.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,74.0,disponible (RDAP registre),
110,liensops.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,74.0,disponible (RDAP registre),
111,lienindex.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,74.0,disponible (RDAP registre),
112,deedslog.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,74.0,disponible (RDAP registre),
113,liensyard.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,74.0,disponible (RDAP registre),
114,feederlog.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,73.0,disponible (RDAP registre),
115,subrogrid.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,73.0,disponible (RDAP registre),
116,feederops.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,73.0,disponible (RDAP registre),
117,dockaudit.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,71.0,disponible (RDAP registre),
118,lotsaudit.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,71.0,disponible (RDAP registre),
119,paystubsdock.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,66.0,disponible (RDAP registre),
120,paystubsops.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,66.0,disponible (RDAP registre),
121,paystubsroom.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,66.0,disponible (RDAP registre),
122,copayclerk.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,66.0,disponible (RDAP registre),
123,remitsindex.com,T2,Jargon B2B — le mot exact du métier,Enregistrement direct (vérifié disponible 21/08/2026),11 $,66.0,disponible (RDAP registre),
