rank,domain,score,majestic_trustflow,majestic_citationflow,trust_ratio_tf_cf,referring_domains,referring_ips,referring_subnets,backlinks,refdomains_live,refdomains_homepage,refdomains_edu,refdomains_gov,wikipedia_live_article_citations,majestic_claimed_wiki_links,dmoz_listed,archive_first_year,archive_captures,other_tlds_registered,majestic_topics,wikipedia_articles
11,osito.ai,184.2,16,13,1.23,82,71,68,319,79,1,0,0,0,0,False,2015,27,55,Sports/Water Sports (65.19%)|Home/Family (22.55%)|Games/Video Games/Developers and Publishers (12.22%),
12,salieri.ai,183.3,20,16,1.25,108,97,86,526,103,1,0,0,0,0,False,2024,33,35,Computers/News and Media (99.72%)|Games/Video Games/News and Reviews (0.17%),
13,morphr.ai,183.1,17,16,1.06,163,120,101,1899,161,0,0,0,0,0,False,2024,50,8,Games/Video Games/Developers and Publishers (99.98%),
14,smartslide.ai,183.1,20,15,1.33,70,65,62,370,68,2,0,0,0,0,False,2024,33,19,Society/Ethnicity (99.04%)|Arts/Radio (0.90%),
15,yellowhat.ai,181.4,24,12,2.0,19,16,13,21,19,0,0,0,0,0,False,2022,79,38,Arts/Music (100.00%),
16,coldcraft.ai,180.5,19,14,1.36,77,66,55,377,72,3,0,0,0,0,False,2024,50,30,Computers/Programming/Languages (98.00%)|Computers/Software/Business (0.78%)|Regional/Europe (0.48%),
17,clustar.ai,178.3,19,12,1.58,18,16,15,29,18,1,0,0,0,0,False,2019,30,15,Computers/Computer Science/Organizations (92.69%)|Reference/Education (3.92%)|Computers/Artificial Intelligence (2.21%),
18,samouraiwallet.ai,178.2,26,12,2.17,41,19,17,62,34,8,0,0,0,0,False,2024,12,7,Business/Business Services (24.30%)|Regional/Europe (22.11%)|Arts/Performing Arts (21.47%),
19,dialogview.ai,177.2,28,17,1.65,28,21,20,74,28,1,0,0,0,0,False,2021,14,1,Computers/Consultants (99.98%),
20,producta.ai,176.0,17,14,1.21,88,80,69,347,84,0,0,0,0,0,False,2024,48,20,Games/Video Games/Developers and Publishers (65.30%)|Society/People (18.08%)|Regional/Asia (12.39%),
21,usescribe.ai,175.8,19,21,0.9,71,62,57,262,68,3,0,0,0,0,False,2024,97,6,Recreation/Theme Parks (44.72%)|Shopping/Children (21.71%)|Arts/Music (19.61%),
22,neurolov.ai,175.5,16,14,1.14,57,48,45,282,51,1,1,0,0,0,False,2024,58,4,Computers/Internet/Web Design and Development (91.38%)|Business/Retail Trade (7.97%)|Computers/Programming/Languages (0.51%),
23,textsmith.ai,174.4,19,14,1.36,77,64,58,497,76,6,0,0,0,0,False,2024,41,5,Society/Ethnicity (98.83%)|Arts/Radio (1.13%),
24,formulagod.ai,174.3,21,17,1.24,86,72,69,4182,82,1,0,0,0,0,False,2022,46,1,Computers/Internet/Web Design and Development (99.02%)|Computers/Programming/Languages (0.32%)|Regional/Europe (0.32%),
25,zirr.ai,174.2,17,16,1.06,78,68,59,619,76,1,0,0,0,0,False,2024,66,16,Business/Healthcare (65.91%)|Business/Energy (10.18%)|Shopping/Health (5.81%),
26,rehance.ai,173.7,15,15,1.0,121,104,96,598,118,0,0,0,0,0,False,2024,31,8,Regional/Asia (49.95%)|Games/Video Games/Developers and Publishers (42.36%)|Health/Alternative (7.63%),
27,playbrary.ai,173.0,21,13,1.62,38,35,34,1503,37,0,0,0,0,0,False,2024,23,4,Arts (90.68%)|Science/Social Sciences (9.24%)|Reference/Museums (0.01%),
28,metapals.ai,172.1,19,16,1.19,43,36,33,98,42,0,0,0,0,0,False,2024,69,10,Science/Physics (46.35%)|Computers/Software/Operating Systems (29.24%)|Science/Math (20.66%),
29,diywebsites.ai,172.0,15,15,1.0,95,86,80,501,93,2,0,0,0,0,False,2023,50,10,Games/Video Games/Developers and Publishers (100.00%),
30,oxsy.ai,171.6,16,10,1.6,26,25,23,139,24,1,0,0,0,0,False,2022,40,17,Computers/Programming/Contests (100.00%),
31,overvoice.ai,171.5,19,14,1.36,58,48,47,295,57,1,0,0,0,0,False,2024,33,15,Society/Ethnicity (98.20%)|Arts/Radio (1.76%),
32,snapby.ai,171.4,16,16,1.0,100,83,77,516,96,2,0,0,0,0,False,2023,23,5,Computers/Desktop Publishing (99.64%)|Computers/Internet/Web Design and Development (0.34%),
33,xmath.ai,171.0,16,12,1.33,43,38,37,127,41,1,0,0,0,0,False,2018,14,29,Games/Video Games/Developers and Publishers (100.00%),
34,medsenger.ai,170.5,22,14,1.57,10,10,10,22,10,0,0,0,0,0,False,2021,59,6,Business/Healthcare (99.98%),
35,advancedsales.ai,170.2,22,12,1.83,21,15,15,65,19,0,0,0,0,0,False,2021,49,11,Business/Management (99.98%),
36,helpmee.ai,169.9,15,15,1.0,95,81,71,400,93,0,0,0,0,0,False,2024,30,19,Reference/Education (99.72%)|Regional/Asia (0.17%)|Adult/World (0.09%),
37,pricein.ai,169.7,15,14,1.07,73,68,65,335,70,0,0,0,0,0,False,2023,30,9,Reference/Education (97.27%)|Regional/Asia (1.61%)|Adult/World (1.08%),
38,ramban.ai,169.7,15,8,1.88,56,51,43,241,54,0,0,0,0,0,False,2024,18,19,Games/Video Games/Developers and Publishers (99.99%),
39,atriv.ai,169.5,17,14,1.21,69,68,61,313,65,0,0,0,0,0,False,2023,23,2,Reference/Education (94.30%)|Business/Environment (4.01%)|Business (0.82%),
40,triplay.ai,169.0,15,15,1.0,87,78,71,309,84,0,0,0,0,0,False,2023,21,27,Games/Video Games/Developers and Publishers (100.00%),
41,postys.ai,168.7,18,14,1.29,61,52,51,235,58,1,0,0,0,0,False,2024,11,4,Games/Video Games/Developers and Publishers (100.00%),
42,seniordev.ai,168.0,15,15,1.0,81,75,72,411,78,1,0,0,0,0,False,2023,41,17,Games/Video Games/Developers and Publishers (99.07%)|Recreation/Travel (0.77%)|Regional/Asia (0.08%),
43,learningsalon.ai,167.3,24,17,1.41,13,13,13,17,13,1,0,0,0,2,False,2020,78,1,Science/Math (85.29%)|Science/Events (4.44%)|Science/Publications (3.83%),
44,primecx.ai,166.5,15,14,1.07,69,60,51,1342,68,1,0,0,0,1,False,2024,27,7,Reference/Education (96.80%)|Arts/Performing Arts (1.35%)|Regional/Asia (1.09%),
45,huez.ai,165.3,16,13,1.23,40,38,35,176,39,0,0,0,0,0,False,2024,12,37,Games/Video Games/Developers and Publishers (99.98%),
46,findexpert.ai,165.1,21,12,1.75,21,18,17,22,21,0,0,0,0,0,False,2024,19,21,Recreation/Travel (98.30%)|Science/Environment (1.10%)|Home/Gardening (0.39%),
47,photojourney.ai,164.0,15,15,1.0,86,76,72,722,83,0,0,0,0,0,False,2024,44,14,Games/Video Games/Developers and Publishers (100.00%),
48,rediron.ai,163.4,15,14,1.07,60,54,46,359,54,0,0,0,0,0,False,2023,17,35,Recreation/Autos (50.97%)|Recreation/Motorcycles (45.68%)|Arts/Music (2.22%),
49,maskbg.ai,162.4,15,11,1.36,154,107,87,438,105,3,0,0,0,0,False,2024,29,1,Society/Organizations (99.34%)|Recreation/Humor (0.22%)|Society/Religion and Spirituality (0.22%),
50,markku.ai,162.3,15,13,1.15,25,24,24,121,24,0,0,0,0,0,False,2019,31,22,Computers/Software/Operating Systems (56.41%)|Society (43.57%),
